Start,End,Speaker,Text
0 days 00:03:27,0 days 00:03:32,SPEAKER 1," from now? I assume the continuation of, you know, ramping up ads all across the Super Tuesday"
0 days 00:03:32,0 days 00:03:37,SPEAKER 1," states, you know, where he has to be competitive and try to be successful there. And I think,"
0 days 00:03:38,0 days 00:03:42,SPEAKER 1," look, I mean, it's Bernie Sanders to lose. And there seem to be a lot of fighting amongst some"
0 days 00:03:42,0 days 00:03:47,SPEAKER 1," in the middle tonight, you know, sort of that middle lane. And that's something we talked about was"
0 days 00:03:47,0 days 00:03:52,SPEAKER 1," Bernie Sanders going to get sort of a free pass. You know, he was very aggressive. Warren was very"
0 days 00:03:52,0 days 00:03:58,SPEAKER 1," aggressive. We saw the exchange between Klobuchar and Mayor Pete, but I did think that Vice President Biden"
0 days 00:03:58,0 days 00:04:02,SPEAKER 1, asserted himself and will live to fight another day in the states of South Carolina.
0 days 00:04:02,0 days 00:04:06,SPEAKER 2," Quickly, your predictions. Who's going to prevail in Nevada on Saturday?"
0 days 00:04:06,0 days 00:04:14,SPEAKER 1," Hard to say, you know, I have to say top three probably Sanders, Biden, some combination of"
0 days 00:04:14,0 days 00:04:21,SPEAKER 1," Pete and or Bloomberg. And he's not in that race. Pete, I'm sorry. Bernie Sanders will win Nevada"
0 days 00:04:21,0 days 00:04:24,SPEAKER 1," comfortably. Elizabeth Warren, I think, will be buoyed by this performance. She'll come in second."
0 days 00:04:24,0 days 00:04:28,SPEAKER 1," I don't know who comes in third, but I think Amy Klobuchar will be out of this race within a week."
0 days 00:04:29,0 days 00:04:32,SPEAKER 2, Wow. That's a big prediction. We'll see. It's a rough night tonight.
0 days 00:04:33,0 days 00:04:36,SPEAKER 2, We thank you both for being with us and we're going to have even more coverage of tonight's
0 days 00:04:36,0 days 00:04:40,SPEAKER 2, debate and it's aftermath Sunday at 10 on the spectrum.
