Start,End,Speaker,Text
0 days 00:01:21,0 days 00:01:23,SPEAKER 1, These are points you should make.
0 days 00:01:23,0 days 00:01:26,SPEAKER 1," I mean, I would make that if you are at that level,"
0 days 00:01:26,0 days 00:01:27,SPEAKER 1, you should actually know the people.
0 days 00:01:27,0 days 00:01:29,SPEAKER 1," Sure, responsible for making US politics."
0 days 00:01:29,0 days 00:01:30,SPEAKER 2, Maybe he does.
0 days 00:01:30,0 days 00:01:31,SPEAKER 1, State argument.
0 days 00:01:31,0 days 00:01:32,SPEAKER 2," And maybe he does, right?"
0 days 00:01:32,0 days 00:01:33,SPEAKER 1," Well, that's the argument."
0 days 00:01:33,0 days 00:01:34,SPEAKER 1, He's making it.
0 days 00:01:34,0 days 00:01:35,SPEAKER 1, Right. You can turn that on its head.
0 days 00:01:35,0 days 00:01:36,SPEAKER 2, You said...
0 days 00:01:36,0 days 00:01:37,SPEAKER 2, You said there's a problem with him making.
0 days 00:01:37,0 days 00:01:38,SPEAKER 2, This...
0 days 00:01:38,0 days 00:01:39,SPEAKER 2, You were going to say something.
0 days 00:01:39,0 days 00:01:40,SPEAKER 2, I interrupted you.
0 days 00:01:40,0 days 00:01:41,SPEAKER 2, There's a problem that...
0 days 00:01:41,0 days 00:01:42,SPEAKER 2, With him making this argument.
0 days 00:01:42,0 days 00:01:43,SPEAKER 2, Were you saying that?
0 days 00:01:43,0 days 00:01:44,SPEAKER 2, Okay.
0 days 00:01:44,0 days 00:01:45,SPEAKER 2," Oh, yeah."
0 days 00:01:45,0 days 00:01:46,SPEAKER 1, There's a...
0 days 00:01:46,0 days 00:01:48,SPEAKER 2, Gloria filled in the gap.
0 days 00:01:48,0 days 00:01:49,SPEAKER 2, Yeah.
0 days 00:01:49,0 days 00:01:50,SPEAKER 1, You filled in my gap.
0 days 00:01:50,0 days 00:01:51,SPEAKER 1, What else is...
0 days 00:01:51,0 days 00:01:53,SPEAKER 2, So let's also talk about...
0 days 00:01:53,0 days 00:01:54,SPEAKER 2, I thought it was interesting how...
0 days 00:01:54,0 days 00:01:56,SPEAKER 2, When we learned this G7 part of things...
0 days 00:01:56,0 days 00:02:00,SPEAKER 2," That he's going to host the G7 at his club, right?"
0 days 00:02:00,0 days 00:02:03,SPEAKER 2," Which we knew was a possibility, but it's very..."
0 days 00:02:03,0 days 00:02:05,SPEAKER 2," I don't know if it's surprising,"
0 days 00:02:05,0 days 00:02:06,SPEAKER 2, but it is...
0 days 00:02:06,0 days 00:02:08,SPEAKER 2," It is certainly a breach of protocol, right?"
0 days 00:02:08,0 days 00:02:09,SPEAKER 2, And...
0 days 00:02:09,0 days 00:02:10,SPEAKER 2, But what does that say?
0 days 00:02:10,0 days 00:02:11,SPEAKER 2," I mean, it's..."
0 days 00:02:11,0 days 00:02:13,SPEAKER 2," I don't mean to go off in this tangent about that,"
0 days 00:02:13,0 days 00:02:16,SPEAKER 2, because it actually sort of speaks to the broad thing
0 days 00:02:16,0 days 00:02:18,SPEAKER 2, that we saw Mulvaney doing.
0 days 00:02:18,0 days 00:02:19,SPEAKER 1, Don't care.
0 days 00:02:19,0 days 00:02:21,SPEAKER 1, That doesn't care.
0 days 00:02:21,0 days 00:02:24,SPEAKER 1, There's a shame factor that has been missing.
0 days 00:02:25,0 days 00:02:28,SPEAKER 1," That chip has just been missing since day one,"
0 days 00:02:28,0 days 00:02:33,SPEAKER 1, and that has been the through line of all of these issues
0 days 00:02:33,0 days 00:02:34,SPEAKER 1, that...
0 days 00:02:34,0 days 00:02:36,SPEAKER 1, And the latest is Darrell.
0 days 00:02:36,0 days 00:02:38,SPEAKER 1, What did McMulvaney say to the question about...
0 days 00:02:38,0 days 00:02:39,SPEAKER 1, Was it the president's idea?
0 days 00:02:39,0 days 00:02:40,SPEAKER 1," Oh, yeah."
0 days 00:02:40,0 days 00:02:41,SPEAKER 1, He came...
0 days 00:02:41,0 days 00:02:42,SPEAKER 1," He said, what about Darrell?"
0 days 00:02:42,0 days 00:02:43,SPEAKER 1, What a great idea.
0 days 00:02:43,0 days 00:02:44,SPEAKER 1, That's not the craziest idea.
0 days 00:02:44,0 days 00:02:45,SPEAKER 2, That's not the craziest idea.
0 days 00:02:45,0 days 00:02:46,SPEAKER 1," Well, the question..."
0 days 00:02:46,0 days 00:02:49,SPEAKER 1, Are you concerned about what this says to foreign leaders
0 days 00:02:49,0 days 00:02:50,SPEAKER 1, around the country who...
0 days 00:02:50,0 days 00:02:52,SPEAKER 1, Around the world who looked to this country as sort of a beacon?
0 days 00:02:52,0 days 00:02:53,SPEAKER 2," Not to be self-serving, right?"
0 days 00:02:54,0 days 00:02:55,SPEAKER 1, Not at all.
0 days 00:02:55,0 days 00:02:56,SPEAKER 1, You know what his answer was?
0 days 00:02:56,0 days 00:02:57,SPEAKER 1," No, next question."
0 days 00:02:57,0 days 00:02:58,SPEAKER 1," I mean, they don't care."
0 days 00:02:58,0 days 00:03:00,SPEAKER 1, So dealing is not in the vocabularies.
0 days 00:03:00,0 days 00:03:03,SPEAKER 1," Self-dealing is not in the vocabulary,"
0 days 00:03:03,0 days 00:03:07,SPEAKER 1," and what Mulvaney was saying is, look, if we do it, it's just fine."
0 days 00:03:07,0 days 00:03:10,SPEAKER 1," This is the best place in the entire United States,"
0 days 00:03:10,0 days 00:03:12,SPEAKER 1," and the president suggested it,"
0 days 00:03:12,0 days 00:03:14,SPEAKER 1, and thought it was a great idea.
0 days 00:03:14,0 days 00:03:17,SPEAKER 1," And again, it goes back to what Dana was saying,"
0 days 00:03:17,0 days 00:03:20,SPEAKER 1," which is, yes, we're doing it."
0 days 00:03:20,0 days 00:03:21,SPEAKER 2, So what?
